Oblast,Name,Latitude,Longitude,Country,Type
Armenia,Erebuni air base,40.126686,44.472957,Russia,Air Base
"Nakhimovsky District, Sevastopol",Kacha air base,44.779215,33.569155,Russia,Air Base
Crimean Peninsula,Gvardeyskoye air base,45.117267,33.977795,Russia,Air Base
"Yeysky District, Krasnodar Krai, Russia",Yeysk air base,46.681479,38.217316,Russia,Air Base
"Millerovsky District, Rostov Oblast, Russia",Millerovo air base,48.956327,40.29476,Russia,Air Base
"Krymsky District, Krasnodar Krai, Russia",Krymsk air base,44.963099,37.998962,Russia,Air Base
"Morozovsky District, Rostov Oblast, Russia",Morozovsk air base,48.313799,41.78839,Russia,Air Base
"Primorsko-Akhtarsky District, Krasnodar Krai, Russia",Primorsko-Akhtarsk air base,46.059297,38.239631,Russia,Air Base
"Budyonnovsky District, Stavropol Krai, Russia",Budyonnovsk air base,44.832285,44.011223,Russia,Air Base
"Kalachyovsky District, Volgograd Oblast, Russia",Marinovka air base,48.640283,43.788928,Russia,Air Base
"Korenovskiy Rayon, Krasnodar Krai, Russia",Korenovsk helicopter base,45.444958,39.411564,Russia,Air Base
"Prionezhsky District, Republic of Karelia, Russia",Besovets air base,61.881239,34.151519,Russia,Air Base
"Gorod Monchegorsk, Murmansk Oblast, Russia",Monchegorsk air base,67.985445,33.012552,Russia,Air Base
"Bologovsky District, Tver Oblast, Russia",Khotilovo air base,57.65839,34.100862,Russia,Air Base
"Kursk Metropolitan Area, Kursk Oblast, Russia",Kursk-Vostochniy air base,51.753895,36.294149,Russia,Air Base
"Pushkin, St Petersburg, Russia",Pushkin helicopter base,59.684168,30.335546,Russia,Air Base
"Ostrovsky District, Pskov Oblast, Russia",Veretye air base,57.293611,28.435013,Russia,Air Base
"Gorod Artem, Primorsky Krai, Russia",Centralnaya Uglovaya air base,43.343657,132.057037,Russia,Air Base
"Komsomolsk-on-Amur, Khabarovsk Krai, Russia",Dzemgi air base,50.604704,137.079849,Russia,Air Base
"Komsomolsky District, Khabarovsk Krai, Russia",Khurba air base,50.406548,136.941319,Russia,Air Base
"Yakovlevsky District, Primorsky Krai, Russia",Varfolomeyevka air base,44.261614,133.414106,Russia,Air Base
"Chernigovsky District, Primorsky Krai, Russia",Chernigovka air base,44.325199,132.547474,Russia,Air Base
"Chitinskiy Rayon, Zabaykalsky Krai, Russia",Domna air base,51.913673,113.118668,Russia,Air Base
"Chita, Zabaykalsky Krai, Russia",Cheremushki helicopter base,52.075923,113.429027,Russia,Air Base
"Kamenskiy Rayon, Sverdlovsk Oblast, Russia",Travyany air base,56.434029,61.986235,Russia,Air Base
"Kurchatovskiy Rayon, Chelyabinsk, Chelyabinsk Oblast, Russia",Shagol (Chelyabinsk) air base,55.25917,61.300955,Russia,Air Base
"Permskiy Rayon, Perm Krai, Russia",Bolshoye Savino air base,57.912203,56.024265,Russia,Air Base
"Kansky District, Krasnoyarsk Krai, Russia",Dalniy (Kansk) air base,56.13063,95.667935,Russia,Air Base
"Ysyk-Ata, Kyrgyzstan",Kant air base,42.856903,74.846206,Russia,Air Base
"Novosibirsk Oblast, Russia",Tolmachevo helicopter base,55.017493,82.60191,Russia,Air Base
"Engelssky District, Saratov Oblast, Russia",Engels air base,51.484378,46.210897,Russia,Air Base
"Kirovsky District, Kaluga Oblast, Russia",Shaykovka air base,54.229718,34.373989,Russia,Air Base
"Gorod Monchegorsk, Murmansk Oblast, Russia",Olenya air base,68.148569,33.459545,Russia,Air Base
"Seryshevsky District, Amur Oblast, Russia",Ukrainka air base,51.164921,128.443394,Russia,Air Base
"Badai, Irkutsk Oblast, Russia, 665471",Belaya air base,52.913353,103.562965,Russia,Air Base
"Akhtubinsky District, Astrakhan Oblast, Russia",Akhtubinsk air base,48.307861,46.197507,Russia,Air Base
"Kulebaksky District, Nizhny Novgorod Oblast, Russia",Savasleika air base,55.446543,42.311783,Russia,Air Base
"Odintsovsky District, Moscow Oblast, Russia",Kubinka air base,55.608414,36.65554,Russia,Air Base
"Moskovskiy Rayon, Ryazan, Ryazan Oblast, Russia",Dyagilevo air base,54.645334,39.564343,Russia,Air Base
"Gorod Torzhok, Torzhok, Tver Oblast, Russia",Torzhok helicopter base,57.044466,35.002785,Russia,Air Base
"Armavir, Krasnodar Krai, Russia",Armavir air base,44.972207,41.107235,Russia,Air Base
"Kushchyovsky District, Krasnodar Krai, Russia",Kushchyovskaya air base,46.539263,39.552327,Russia,Air Base
"Tsentral'nyy Rayon, Kaliningrad, Kaliningrad Oblast, Russia",Chkalovsk air base,54.767622,20.393372,Russia,Air Base
"Chernyakhovsk, Kaliningrad Oblast, Russia",Chernyakhovsk air base,54.599815,21.781941,Russia,Air Base
"Donskoye, Kaliningrad Oblast, Russia, 238570",Donskoye air base,54.93878,19.979528,Russia,Air Base
"Kaliningrad Oblast, Russia",Khrabrovo air base,54.888103,20.584067,Russia,Air Base
Crimean Peninsula,Saki air base,45.08952,33.596363,Russia,Air Base
"Anadyrsky District, Chukotka Autonomous Okrug, Russia",Ugolny air base,64.731952,177.73613,Russia,Air Base
"Iultinsky District, Chukotka Autonomous Okrug, Russia",Mys Shmidta air base,68.869211,-179.380989,Russia,Air Base
"Yelizovsky District, Kamchatka Krai, Russia",Yelizovo air base,53.165299,158.450317,Russia,Air Base
"Partizansky District, Primorsky Krai, Russia",Nikolayevka Primorskaya air base,43.087946,133.192749,Russia,Air Base
"Vaninsky District, Khabarovsk Krai, Russia",Sovetskaya Gavan air base,49.236879,140.190525,Russia,Air Base
"Gorod Artem, Primorsky Krai, Russia, 692756",Vladivostok air base,43.3927,132.149563,Russia,Air Base
"Yuzhny Island, Arkhangelsk Oblast, Russia",Amderma-2 (Rogachevo) air base,71.608932,52.465897,Russia,Air Base
"Alexandra Land, Arkhangelsk Oblast, Russia",Nagurskoye air base,80.802525,47.665558,Russia,Air Base
"Taymyrsky Dolgano-Nenetsky District, Krasnoyarsk Krai, Russia",Sredny air base,79.514661,91.233215,Russia,Air Base
"Far Eastern Federal District, Russia",Temp air base,75.782317,137.630537,Russia,Air Base
"Severomorsk, Murmansk Oblast, Russia",Severomorsk-1 air base,69.020308,33.43689,Russia,Air Base
"Vologodsky District, Vologda Oblast, Russia",Kipelovo air base,59.190702,39.125748,Russia,Air Base
"Novomoskovsky Administrative Okrug, Moscow, Russia",Ostafyevo air base,55.50725,37.506294,Russia,Air Base
"Kolsky District, Murmansk Oblast, Russia",Severomorsk-3 air base,68.868964,33.718071,Russia,Air Base
"Sovetskiy Rayon, Voronezh, Voronezh Oblast, Russia",Baltimor (Voronezh) air base,51.619829,39.144287,Russia,Air Base
"Pochinkovsky District, Smolensk Oblast, Russia",Shatalovo air base,54.338746,32.474556,Russia,Air Base
"Vyborgskiy, St Petersburg, Russia",Levashovo air base,60.087448,30.191674,Russia,Air Base
"Vyborgsky District, Leningrad Oblast, Russia",Pribylovo helicopter base,60.459418,28.742809,Russia,Air Base
"Vyazemsky District, Smolensk Oblast, Russia",Dvoyevka air base,55.145919,34.380341,Russia,Air Base
"Oktyabr'skiy Rayon, Rostov-on-Don, Rostov Oblast, Russia",Tsentralny air base,47.277482,39.635754,Russia,Air Base
"Nakhimovsky District, Sevastopol",Belbek air base,44.690136,33.572846,Russia,Air Base
Crimean Peninsula,Dzhankoi helicopter base,45.698986,34.414673,Russia,Air Base
"Zernogradsky District, Rostov Oblast, Russia",Zernograd helicopter base,46.835301,40.378189,Russia,Air Base
"Mozdoksky District, North Ossetia–Alania Republic, Russia",Mozdok air base,43.783984,44.605179,Russia,Air Base
"Sverdlovsk Oblast, Russia, 620025",Koltsovo air base,56.742934,60.801086,Russia,Air Base
"Uvel'skiy Rayon, Chelyabinsk Oblast, Russia",Uprun air base,54.376758,61.352463,Russia,Air Base
"Bombora, Akhalsopeli",Bombora air base,43.115943,40.56972,Russia,Air Base
"Chuguyevsky District, Primorsky Krai, Russia",Sokolovka air base,44.082838,133.868065,Russia,Air Base
"Dolinskiy Rayon, Sakhalin Oblast, Russia",Sokol air base,47.258495,142.765617,Russia,Air Base
"Zheleznodorozhnyy Rayon, Khabarovsk, Khabarovsk Krai, Russia, 680032",Bolshoy air base,48.460287,135.146771,Russia,Air Base
"Gorod Ussuriysk, Primorsky Krai, Russia",Vozdvizhenka air base,43.906922,131.91782,Russia,Air Base
"Step', Zabaykalsky Krai, Russia, 674511",Step air base,51.017426,115.421848,Russia,Air Base
Burevestnik,Burevestnik helicopter base,44.91741,147.624664,Russia,Air Base
"Soletsky District, Novgorod Oblast, Russia",Soltsy air base,58.134471,30.328789,Russia,Air Base
"Bulunsky District, Sakha Republic, Russia",Tiksi air base,71.699164,128.896751,Russia,Air Base
"Gorod Vorkuta, Komi Republic, Russia",Sovetskiy air base,67.46203,64.301605,Russia,Air Base
"Sovetskiy Rayon, Tambov, Tambov Oblast, Russia",Tambov air base,52.703019,41.375885,Russia,Air Base
"Pskov, Pskov Oblast, Russia",Pskov air base,57.773968,28.391762,Russia,Air Base
"Leninskiy Rayon, Orenburg, Orenburg Oblast, Russia",Orenburg-2 air base,51.709693,55.019016,Russia,Air Base
"Gorod Taganrog, Rostov Oblast, Russia",Tsentralniy (Taganrog) air base,47.243814,38.83667,Russia,Air Base
"Dubrovsky District, Bryansk Oblast, Russia",Seshcha air base,53.716013,33.343334,Russia,Air Base
"Proletarskiy Rayon, Tver, Tver Oblast, Russia",Migalovo air base,56.825497,35.746422,Russia,Air Base
"Oktyabr'skiy Rayon, Ivanovo, Ivanovo Oblast, Russia",Severny air base,57.060804,40.978918,Russia,Air Base
"Shchyolkovsky District, Moscow Oblast, Russia",Chkalovskiy air base,55.879981,38.064795,Russia,Air Base
"Jableh, Syria",Khmeimim air base,35.402693,35.950527,Russia,Air Base
"???? ???????, Syria",Shayrat air base,34.493683,36.910801,Russia,Air Base
"Qaryatein, Syria",Tiyas air base,34.523813,37.627487,Russia,Air Base
"Volsky District, Saratov Oblast, Russia",Bagay-Baranovka air base,52.140653,46.961746,Russia,Air Base
Crimean Peninsula,Kirovskoye air base,45.167515,35.182858,Russia,Air Base
"Lipetsk, Lipetsk Oblast, Russia",Lipetsk-2 air base,52.643897,39.439201,Russia,Air Base
"Klin, Moscow Oblast, Russia",Klin-5 air base,56.366011,36.730385,Russia,Air Base
"Suzdalsky District, Vladimir Oblast, Russia, 601277",Dobrynskoye helicopter base,56.245472,40.585256,Russia,Air Base
"Kharabalinsky District, Astrakhan Oblast, Russia",Ashuluk air base,47.422745,47.932663,Russia,Air Base
"Narimanovsky District, Astrakhan Oblast, Russia",Privolzhskiy air base,46.395253,47.892151,Russia,Air Base
"Kotelnikovsky District, Volgograd Oblast, Russia",Kotelnikovo air base,47.632082,43.097992,Russia,Air Base
"Tikhoretsky District, Krasnodar Krai, Russia",Tikhoretsk air base,45.878776,40.109024,Russia,Air Base
"Gorod Maykop, Adygea Republic, Russia",Khanskaya air base,44.684277,40.040875,Russia,Air Base
"Borisoglebsky District, Voronezh Oblast, Russia",Otvesnyi air base,51.365993,42.180977,Russia,Air Base
"Michurinsky District, Tambov Oblast, Russia",Michurinsk air base,52.917183,40.367546,Russia,Air Base
"Balashovsky District, Saratov Oblast, Russia",Balashov air base,51.532669,43.299694,Russia,Air Base
"Rtishchevsky District, Saratov Oblast, Russia",Rtishchevo air base,52.295777,43.724384,Russia,Air Base
"Syzransky District, Samara Oblast, Russia",Troekurovka air base,53.222891,48.546867,Russia,Air Base
"Saratovsky District, Saratov Oblast, Russia",Saratov-Sokol helicopter base,51.541317,45.848179,Russia,Air Base
"Karmakshy District, Kazakhstan",Baikonur Cosmodrome,45.87519,63.312836,Russia,Air Base
"Priozersky District, Leningrad Oblast, Russia",Gromovo air base,60.714686,30.109921,Russia,Air Base
"Leninskiy Rayon, Vladimir, Vladimir Oblast, Russia",Semyazino air base,56.127089,40.314417,Russia,Air Base
"Adlerskiy, Krasnodar Krai, Russia",Sochi air base,43.444569,39.945259,Russia,Air Base
"Khankala, Chechnya, Russia",Khankala air base,43.296886,45.798054,Russia,Air Base
"Gorod Yasnyy, Orenburg Oblast, Russia",Yasny air base,51.048193,59.854202,Russia,Air Base
"Verkhnesaldinskiy Rayon, Sverdlovsk Oblast, Russia",Svobodny helicopter base,58.034771,60.403598,Russia,Air Base
"Savino, Mari El Republic, Russia, 425221",Danilovo air base,56.65826,48.024683,Russia,Air Base
"Karabudakhkentsky District, Republic of Dagestan, Russia",Makhachkala airport,42.815966,47.655249,Russia,Air Base
"Cherdaklinsky District, Ulyanovsk Oblast, Russia",Ulyanovsk Vostochny air base,54.414107,48.800907,Russia,Air Base
"Severo-Kurilsky District, Sakhalin Oblast, Russia, 694550",Matua air base,48.053176,153.252399,Russia,Air Base
"Kyzyl, Tuva Republic, Russia",Kyzyl air base,51.65569,94.374101,Russia,Air Base
Iturup,Yasny air base,45.250901,147.954327,Russia,Air Base
"Zhukovskiy, Moscow Oblast, Russia",Ramenskoye air base,55.561471,38.137283,Russia,Air Base
"Gogland, Leningrad Oblast, Russia, 188474",Gogland Island helicopter base,60.087423,26.973086,Russia,Air Base
"Plesetsky District, Arkhangelsk Oblast, Russia",Plesetsk Cosmodrome,62.92455,40.553584,Russia,Air Base
"Buturlinovsky District, Voronezh Oblast, Russia",Buturlinovka air base,50.787107,40.611412,Russia,Air Base
"Quamishli, Syria",Qamishli Airport,37.003513,41.176424,Russia,Air Base
"Plesetsky District, Arkhangelsk Oblast, Russia",Plesetsk air base,62.717915,40.493484,Russia,Air Base
Syria,Al-Tabqah Airport,35.756153,38.564575,Russia,Air Base
"Dushanbe, Tajikistan",Ayni/Hisor (Gissar) air base,38.511877,68.673352,Russia,Air Base
"Baranavichy, Brest Region, Belarus",Baranovichi air base,53.095993,26.045463,Russia,Air Base
"Rubtsovsky District, Altai Krai, Russia",Rubtsovsk airfield,51.590875,81.212946,Russia,Air Base
"Shet District, Kazakhstan",Kambala air base,46.032122,73.494523,Russia,Air Base
,Sevastopol naval base,44.615156,33.509846,Russia,Navy Base
,Novorossiysk naval base,44.717222,37.832794,Russia,Navy Base
,Kaspiysk naval base,42.88552,47.65217,Russia,Navy Base
,Astrakhan naval base,46.302236,47.976265,Russia,Navy Base
,Baltiysk naval base,54.642651,19.91684,Russia,Navy Base
,Kronshtadt naval base,59.982932,29.784965,Russia,Navy Base
,Trudfront naval base,45.939213,47.668648,Russia,Navy Base
,Fokino naval base,42.937449,132.417183,Russia,Navy Base
,Vladivostok naval base,43.073778,131.933613,Russia,Navy Base
,Sovetskaya Gavan naval base,48.97864,140.284252,Russia,Navy Base
,Petropavlovsk-Kamchatsky naval base,52.959497,158.665237,Russia,Navy Base
,Severomorsk naval base,69.083277,33.421783,Russia,Navy Base
,Severodvinsk naval base,64.584969,39.815397,Russia,Navy Base
,Polyarny naval base,69.202944,33.458734,Russia,Navy Base
,Vidyayevo naval base,69.330836,32.826548,Russia,Navy Base
,Murmansk-150 (Zaozersk) naval base,69.440199,32.412071,Russia,Navy Base
,Gadzhiyevo naval base,69.261712,33.315182,Russia,Navy Base
,Lomonosov naval base,59.921092,29.775278,Russia,Navy Base
,Naval station in Port Sudan,19.637834,37.238193,Russia,Navy Base
,Tartus naval base,34.908382,35.872456,Russia,Navy Base
,Temryuk naval base,45.307359,37.376516,Russia,Navy Base
,Feodosia naval base,45.031963,35.382533,Russia,Navy Base
,Nikolayevsk naval base,53.134861,140.726349,Russia,Navy Base
,Vyborg naval base,60.701944,28.741784,Russia,Navy Base
,Roslyakovo naval base,69.05106,33.213229,Russia,Navy Base
,Murmansk naval base,68.973718,33.065738,Russia,Navy Base
,Korsakov naval base,46.623418,142.770924,Russia,Navy Base
,Makhachkala naval base,42.998797,47.472749,Russia,Navy Base
,Gremikha naval base,68.066938,39.472187,Russia,Navy Base
,Mishukovo naval base,69.046137,33.039446,Russia,Navy Base
,1st Tank Army,55.886913,35.967178,Russia,Land Base
,20th Army,51.669148,39.196472,Russia,Land Base
,6th Army,61.514469,32.071113,Russia,Land Base
,8th Army,50.125085,43.141932,Russia,Land Base
,49th Army,45.04829,41.95129,Russia,Land Base
,58th Army,43.02498,44.62921,Russia,Land Base
,2nd Army,53.18546,50.09353,Russia,Land Base
,41st Army,55.14591,82.91656,Russia,Land Base
,36th Army,51.80139,107.63992,Russia,Land Base
,29th Army ,52.15455,113.44894,Russia,Land Base
,35th Army,50.94804,128.49197,Russia,Land Base
,5th Army,45.788116,134.479864,Russia,Land Base
,68th Army Corps,47.01912,142.72954,Russia,Land Base
,1st Army Corps,47.999099,37.807385,Russia,Land Base
,2nd Army Corps,48.579787,39.300842,Russia,Land Base
,Black Sea Fleet,44.609535,33.544006,Russia,Land Base
,Caspian Flotilla,46.361145,48.067932,Russia,Land Base
,Baltic Fleet,54.703995,20.503922,Russia,Land Base
,Northern Fleet Joint Strategic Command,67.736183,31.663791,Russia,Land Base
,Pacific Fleet,43.376481,134.596767,Russia,Land Base
,Russian military bases in Belarus,53.696707,27.773438,Russia,Land Base
,Russian forces in Moldova,46.477021,28.707993,Russia,Land Base
,Russian occupation forces in Georgia,41.857288,43.942566,Russia,Land Base
,Russian military bases in Armenia,40.199843,44.461554,Russia,Land Base
,Russian military installations in Kazakhstan,46.630579,74.366455,Russia,Land Base
,Russian military installations in Kyrgyzstan,41.059741,74.967049,Russia,Land Base
,Russian military bases in Tajikistan,38.515937,70.941467,Russia,Land Base
,Russian military bases in Syria,34.890437,35.914307,Russia,Land Base
,Western Military District,58.429772,32.649997,Russia,Land Base
,Southern Military District,44.202878,38.257825,Russia,Land Base
,Central Military District,55.831784,63.86491,Russia,Land Base
,Eastern Military District,48.167931,138.365964,Russia,Land Base
,6th Air and Air Defence Forces Army,60.026441,33.824158,Russia,Land Base
,4th Air and Air Defence Forces Army,48.075785,45.464859,Russia,Land Base
,45th Air and Air Defence Forces Army,67.732735,36.113333,Russia,Land Base
,14th Air and Air Defence Forces Army,58.035735,63.948671,Russia,Land Base
,11th Air and Air Defence Forces Army,50.100323,136.347197,Russia,Land Base
,Russian naval station in Sudan,19.704898,36.693819,Russia,Land Base
,Russian forces in Azerbaijan,39.715599,47.597599,Russia,Land Base
,1st Air Defence and Missile Defence Army,56.116179,38.832576,Russia,Land Base
,183rd Anti-Aircraft Missile Regiment,54.651193,21.037616,Russia,Air Defense
,1545th Anti-Aircraft Missile Regiment,54.803321,20.055718,Russia,Air Defense
,202nd Anti-Aircraft Missile Brigade,55.425214,36.710301,Russia,Air Defense
,28th Anti-Aircraft Missile Brigade,58.31921,48.64409,Russia,Air Defense
,1724th Anti-Aircraft Missile Regiment,46.890232,142.576447,Russia,Air Defense
,"S-400 and S-300 systems in Abkhazia, Georgia",43.089588,40.702579,Russia,Air Defense
,988th Anti-Aircraft Missile Regiment,40.75519,43.858967,Russia,Air Defense
,77th Anti-Aircraft Missile Brigade,45.432973,39.457483,Russia,Air Defense
,Anti-Aircraft Missile Battalion,75.641579,137.949829,Russia,Air Defense
,33rd Anti-Aircraft Missile Regiment,71.615214,51.712647,Russia,Air Defense
,1488th Anti-Aircraft Missile Regiment,60.19569,29.694185,Russia,Air Defense
,500th Anti-Aircraft Missile Regiment,59.745024,29.624019,Russia,Air Defense
,1489th Anti-Aircraft Missile Regiment,60.085657,31.028993,Russia,Air Defense
,1544th Anti-Aircraft Missile Regiment,58.208879,29.069104,Russia,Air Defense
,1490th Anti-Aircraft Missile Regiment,59.579356,30.733548,Russia,Air Defense
,42nd Anti-Aircraft Missile Regiment,58.056741,32.934876,Russia,Air Defense
,108th Anti-Aircraft Missile Regiment,51.560496,39.114677,Russia,Air Defense
,1537th Anti-Aircraft Missile Regiment,44.801234,37.702871,Russia,Air Defense
,1536th Anti-Aircraft Missile Regiment,47.237115,39.828202,Russia,Air Defense
,1721st Anti-Aircraft Missile Regiment,43.624824,39.719967,Russia,Air Defense
,12th Anti-Aircraft Missile Regiment,44.559548,33.544451,Russia,Air Defense
,18th Anti-Aircraft Regiment,45.017112,35.275019,Russia,Air Defense
,583rd Anti-Aircraft Missile Regiment,68.124545,33.075403,Russia,Air Defense
,1528th Anti-Aircraft Missile Regiment,64.499084,40.023567,Russia,Air Defense
,531st Anti-Aircraft Missile Regiment,69.224277,33.243641,Russia,Air Defense
,511th Anti-Aircraft Missile Regiment,51.39788,46.079408,Russia,Air Defense
,185th Anti-Aircraft Missile Regiment,56.918979,60.820856,Russia,Air Defense
,568th Anti-Aircraft Regiment,53.223716,50.370499,Russia,Air Defense
,590th Anti-Aircraft Missile Regiment,55.032528,83.118326,Russia,Air Defense
,24th Anti-Aircraft Missile Brigade,53.712517,91.337487,Russia,Air Defense
,1534th Anti-Aircraft Missile Regiment,52.521652,103.901538,Russia,Air Defense
,1533rd Anti-Aircraft Missile Regiment,43.160377,132.040666,Russia,Air Defense
,589th Anti-Aircraft Missile Regiment,42.850333,132.888267,Russia,Air Defense
,1529th Anti-Aircraft Missile Regiment,48.604027,135.07691,Russia,Air Defense
,1530th Anti-Aircraft Missile Regiment,50.388283,137.380847,Russia,Air Defense
,38th Anti-Aircraft Missile Brigade,48.742411,132.978993,Russia,Air Defense
,1723rd Anti-Aircraft Missile Regiment,52.096966,113.490397,Russia,Air Defense
,549th Ant-Aircraft Missile Regiment,55.760238,37.229175,Russia,Air Defense
,629th Anti-Aircraft Missile Regiment,55.801883,38.400941,Russia,Air Defense
,606th Anti-Aircraft Missile Regiment,55.746705,38.51183,Russia,Air Defense
,614th Anti-Aircraft Missile Regiment,56.061286,37.687812,Russia,Air Defense
,584th Anti-Aircraft Missile Regiment,56.018704,37.015247,Russia,Air Defense
,210th Anti-Aircraft Missile Regiment,56.202075,37.558497,Russia,Air Defense
,93rd Anti-Aircraft Regiment,55.790847,36.84108,Russia,Air Defense
,612th Anti-Aircraft Missile Regiment,55.599912,37.063946,Russia,Air Defense
,Anti-Aircraft Battalion,80.635768,48.64466,Russia,Air Defense
,1532nd Anti-Aircraft Missile Regiment,53.152834,158.722498,Russia,Air Defense
,Anti-Aircraft Regiment,35.341596,36.08238,Russia,Air Defense
,Air defence systems at Tartus naval base,34.866726,35.98671,Russia,Air Defense
,Air defence systems at Masyaf base,35.064817,36.316377,Russia,Air Defense
,155th Anti-Aircraft Missile Regiment,71.774244,129.395985,Russia,Air Defense
,388th Anti-Aircraft Missile Regiment,56.285401,90.507991,Russia,Air Defense
,Air defence systems at Qamishli Airport,37.031907,41.204114,Russia,Air Defense
,Unit of S-300V4 systems,44.570841,147.06424,Russia,Air Defense
